Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
42070_1#219.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.43%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
42070_1#21.contigs_spades	O5	O5	Very high		100.00%	99.70%	0 bp	8 / 8 (100%)	O5_01_manC,99.576%;O5_02_manB,99.346%;O5_03_wzm,100.0%;O5_04_wzt,100.0%;O5_05_wbdD,100.0%;O5_06_wbdA,99.918%;O5_07_wbdB,100.0%;O5_08_wbdC,100.0%		0		0 / 8 (0%)		1	O3/O3a_02_manB,98.684%
42070_1#220.contigs_spades	O1/O2v2	O1b	Very high		100.00%	98.98%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.842%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,97.651%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.256%;O1/O2v2_08_gmlC,98.768%;O1/O2v2_09_gmlB,99.083%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#221.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.43%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
42070_1#223.contigs_spades	O1/O2v1	O1b	Very high		100.00%	98.52%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,99.221%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#224.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.45%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.759%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
42070_1#225.contigs_spades	O1/O2v1	O1b	Very high		100.00%	97.87%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,99.609%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,97.315%;O1/O2v1_06_wbbO,98.677%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#226.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#227.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#228.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#22.contigs_spades	O1/O2v1	O1b	Very high		99.99%	98.16%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,98.442%;O1/O2v1_05_wbbN,99.664%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#230.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#231.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#232.contigs_spades	O1/O2v2	O1b	Very high		100.00%	98.75%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.367%;O1/O2v2_04_glf,98.701%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.504%;O1/O2v2_08_gmlC,97.536%;O1/O2v2_09_gmlB,99.083%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		6	Extra_genes_wbbY_01_wbbY,99.73%;O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,100.0%;O12_04_rfbC,97.838%
42070_1#233.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.97%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#234.contigs_spades	O5	O5	Good	?-*	100.00%	94.21%	n/a	7 / 8 (87.5%)	O5_01_manC,99.364%;O5_02_manB,99.564%;O5_03_wzm,99.245%;O5_04_wzt,98.765%;O5_05_wbdD,94.366%;O5_06_wbdA,95.387%;O5_07_wbdB,99.482%	O5_08_wbdC	0		0 / 8 (0%)		0	
42070_1#235.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.45%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.759%;O1/O2v2_08_gmlC,97.125%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
42070_1#236.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#237.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.55%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,99.609%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.221%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.947%;O1/O2v2_09_gmlB,99.083%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
42070_1#238.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#239.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.45%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.759%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		0	
42070_1#240.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#241.contigs_spades	O1/O2v1	O1b	Very high		100.00%	98.03%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,96.583%		0		0 / 7 (0%)		2	Extra_genes_wbbY_01_wbbY,100.0%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#243.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.43%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
42070_1#247.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.43%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
42070_1#249.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.43%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
42070_1#24.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#251.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#253.contigs_spades	O1/O2v2	O1b	Very high		100.00%	98.53%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,99.74%;O1/O2v2_05_wbbN,98.322%;O1/O2v2_06_wbbO,99.204%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.741%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		2	Extra_genes_wbbY_01_wbbY,99.865%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#255.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.43%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
42070_1#256.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.97%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#257.contigs_spades	OL101	unknown (OL101)	Good	?+*	100.00%	95.17%	n/a	9 / 9 (100%)	OL101_01_rfbB,97.183%;OL101_02_rfbA,97.917%;OL101_03_rfbD,98.653%;OL101_04_rfbC,96.757%;OL101_05_wbbL,98.917%;OL101_06_wzm,98.921%;OL101_07_wzt,99.099%;OL101_08_wbbB,95.711%;OL101_09_glycosylhydrolase,93.132%		1	OL103_01_rmlC,95.161%	0 / 9 (0%)		0	
42070_1#258.contigs_spades	O1/O2v1	O1b	Very high		100.00%	98.11%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,97.922%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,97.039%		0		0 / 7 (0%)		2	Extra_genes_wbbY_01_wbbY,100.0%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#259.contigs_spades	OL101	unknown (OL101)	Very high	*	100.00%	95.10%	-16 bp	9 / 9 (100%)	OL101_01_rfbB,97.175%;OL101_02_rfbA,97.917%;OL101_03_rfbD,98.653%;OL101_04_rfbC,96.757%;OL101_05_wbbL,98.917%;OL101_06_wzm,98.921%;OL101_07_wzt,99.099%;OL101_08_wbbB,95.711%;OL101_09_glycosylhydrolase,93.132%		0		0 / 9 (0%)		1	OL103_01_rmlC,96.774%
42070_1#25.contigs_spades	O1/O2v2	O2afg	Very high		100.00%	98.42%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.576%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.469%;O1/O2v2_07_kfoC,98.263%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	O12_01_rfbB,98.31%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;OL101_04_rfbC,97.297%
42070_1#260.contigs_spades	O1/O2v2	O1b	Very high		100.00%	99.20%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.525%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,100.0%;O1/O2v2_07_kfoC,99.752%;O1/O2v2_08_gmlC,99.384%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#261.contigs_spades	O1/O2v1	O1b	Very high		100.00%	98.45%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#262.contigs_spades	O1/O2v1	O1b	Very high		100.00%	99.99%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,100.0%;O1/O2v1_03_wbbM,100.0%;O1/O2v1_04_glf,100.0%;O1/O2v1_05_wbbN,100.0%;O1/O2v1_06_wbbO,100.0%;O1/O2v1_07_kfoC,100.0%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.788%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#263.contigs_spades	O1/O2v2	O1b	Very high		100.00%	98.54%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.418%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.947%;O1/O2v2_09_gmlB,98.777%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.576%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#267.contigs_spades	O1/O2v1	O1b	Very high		100.00%	98.52%	0 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,99.221%;O1/O2v1_05_wbbN,98.322%;O1/O2v1_06_wbbO,98.942%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,99.576%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.63%
42070_1#268.contigs_spades	O1/O2v2	O1b	Very high		100.00%	98.48%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.19%;O1/O2v2_03_wbbM,98.734%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,97.651%;O1/O2v2_06_wbbO,99.735%;O1/O2v2_07_kfoC,99.007%;O1/O2v2_08_gmlC,97.331%;O1/O2v2_09_gmlB,99.083%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.865%;O3/O3a_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,99.259%
42070_1#269.contigs_spades	O1/O2v1	O1b	Very high		100.00%	98.03%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.19%;O1/O2v1_03_wbbM,99.367%;O1/O2v1_04_glf,98.961%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.471%;O1/O2v1_07_kfoC,96.811%		0		0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.028%;OL101_03_rfbD,98.653%;OL101_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.63%;O12_04_rfbC,97.297%
42070_1#271.contigs_spades	O1/O2v2	O1b	Very high		100.00%	99.20%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.525%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.993%;O1/O2v2_06_wbbO,100.0%;O1/O2v2_07_kfoC,99.752%;O1/O2v2_08_gmlC,99.384%;O1/O2v2_09_gmlB,99.388%;O1/O2v2_10_gmlA,99.206%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.73%;O3/O3a_01_manC,99.576%;O3/O3a_02_manB,99.123%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#272.contigs_spades	O1/O2v2	O1b	Perfect		100.00%	100.00%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,100.0%;O1/O2v2_03_wbbM,100.0%;O1/O2v2_04_glf,100.0%;O1/O2v2_05_wbbN,100.0%;O1/O2v2_06_wbbO,100.0%;O1/O2v2_07_kfoC,100.0%;O1/O2v2_08_gmlC,100.0%;O1/O2v2_09_gmlB,100.0%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		6	Extra_genes_wbbY_01_wbbY,99.865%;O12_01_rfbB,98.31%;OL101_03_rfbD,98.316%;OL101_02_rfbA,97.917%;Extra_genes_wbbZ_01_wbbZ,99.63%;O12_04_rfbC,97.838%
42070_1#273.contigs_spades	O1/O2v2	O1b	Very high		100.00%	99.47%	0 bp	10 / 10 (100%)	O1/O2v2_01_wzm,100.0%;O1/O2v2_02_wzt,99.595%;O1/O2v2_03_wbbM,99.525%;O1/O2v2_04_glf,98.961%;O1/O2v2_05_wbbN,98.658%;O1/O2v2_06_wbbO,100.0%;O1/O2v2_07_kfoC,100.0%;O1/O2v2_08_gmlC,100.0%;O1/O2v2_09_gmlB,100.0%;O1/O2v2_10_gmlA,100.0%		0		0 / 10 (0%)		4	Extra_genes_wbbY_01_wbbY,99.595%;O3b_01_manC,99.576%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
42070_1#277.contigs_spades	O1/O2v1	O1b	Very high		100.00%	98.45%	-2 bp	7 / 7 (100%)	O1/O2v1_01_wzm,100.0%;O1/O2v1_02_wzt,99.595%;O1/O2v1_03_wbbM,99.525%;O1/O2v1_04_glf,99.481%;O1/O2v1_05_wbbN,98.658%;O1/O2v1_06_wbbO,99.206%;O1/O2v1_07_kfoC,98.633%		0		0 / 7 (0%)		4	Extra_genes_wbbY_01_wbbY,100.0%;O3b_01_manC,100.0%;O3/O3a_02_manB,98.904%;Extra_genes_wbbZ_01_wbbZ,100.0%
