Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
42070_1#136.contigs_spades	KL67	K67	Good	?-*	100.00%	94.81%	n/a	22 / 24 (91.7%)	KL67_01_galF,99.331%;KL67_02_cpsACP,91.905%;KL67_03_wzi,99.372%;KL67_04_wza,100.0%;KL67_05_wzb,100.0%;KL67_06_wzc,99.445%;KL67_07_wzy,99.102%;KL67_08_wcuI,98.58%;KL67_09_wckZ,99.083%;KL67_10_wclH,95.868%;KL67_11_wcqG,95.517%;KL67_12_wcqH,98.396%;KL67_13_wzx,98.353%;KL67_14_wcuC,96.875%;KL67_15_wbaZ,98.961%;KL67_16_wcaJ,99.569%;KL67_17_gnd,99.36%;KL67_18_manC,99.576%;KL67_19_manB,99.562%;KL67_22_rmlD,98.99%;KL67_23_rmlC,96.216%;KL67_24_ugd,99.486%	KL67_21_rmlA	0		1 / 24 (4.2%)	KL67_20_rmlB,98.592%	1	KL150_19_gmd,99.104%
42070_1#137.contigs_spades	KL2	K2	High	-	100.00%	99.75%	0 bp	17 / 18 (94.4%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%	KL2_13	0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#138.contigs_spades	KL140	unknown (KL140)	Very high		100.00%	99.99%	0 bp	19 / 19 (100%)	KL140_01_galF,100.0%;KL140_02_cpsACP,99.524%;KL140_03_wzi,100.0%;KL140_04_wza,100.0%;KL140_05_wzb,100.0%;KL140_06_wzc,100.0%;KL140_07_wzy,100.0%;KL140_08_wckM,100.0%;KL140_09_wcuQ,100.0%;KL140_10_wcuD,100.0%;KL140_11,99.653%;KL140_12_wzx,100.0%;KL140_13_wbaZ,100.0%;KL140_14_wcaJ,100.0%;KL140_15_wcuC,100.0%;KL140_16_gnd,100.0%;KL140_17_manC,100.0%;KL140_18_manB,100.0%;KL140_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,98.785%;KL40_04,99.256%;KL40_05_rfaG,99.475%;KL150_19_gmd,97.898%
42070_1#139.contigs_spades	KL107	unknown (KL107)	None	?-+*	74.05%	81.86%	n/a	9 / 16 (56.2%)	KL107_01_galF,90.301%;KL107_03_wzi,89.958%;KL107_04_wza,91.489%;KL107_11_gnd,97.228%;KL107_12,98.563%;KL107_13,96.897%;KL107_14,98.316%;KL107_15,98.919%;KL107_16_ugd,99.229%	KL107_02_cpsACP;KL107_05_wzb;KL107_06_wzc;KL107_07_wbaP;KL107_08;KL107_09;KL107_10	4	KL145_06_wzc,88.504%;KL145_07_wbaP,83.403%;KL66_02_cpsACP,98.707%;KL152_05_wzb,96.552%	0 / 16 (0%)		3	KL65_20_manC,98.305%;KL67_19_manB,98.031%;KL150_19_gmd,97.91%
42070_1#13.contigs_spades	KL28	K28	Very high		100.00%	99.18%	+1 bp	19 / 19 (100%)	KL28_01_galF,100.0%;KL28_02_cpsACP,100.0%;KL28_03_wzi,97.699%;KL28_04_wza,99.737%;KL28_05_wzb,100.0%;KL28_06_wzc,100.0%;KL28_07_wckC,100.0%;KL28_08_wcuC,100.0%;KL28_09_wckD,100.0%;KL28_10_wzy,100.0%;KL28_11_wclS,99.468%;KL28_12_wcuE,100.0%;KL28_13_wzx,99.765%;KL28_14_wbaZ,100.0%;KL28_15_wcaJ,100.0%;KL28_16_gnd,100.0%;KL28_17_manC,99.788%;KL28_18_manB,99.781%;KL28_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,98.785%;KL40_04,99.504%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.104%
42070_1#140.contigs_spades	KL61	K61	Low	?+	100.00%	99.66%	n/a	19 / 19 (100%)	KL61_01_galF,100.0%;KL61_02_cpsACP,100.0%;KL61_03_wzi,100.0%;KL61_04_wza,100.0%;KL61_05_wzb,100.0%;KL61_06_wzc,100.0%;KL61_07_wclQ,100.0%;KL61_08_wcuQ,100.0%;KL61_09_wzy,100.0%;KL61_10_wclP,99.488%;KL61_11_wzx,100.0%;KL61_12_wcqZ,100.0%;KL61_13_wcuK,100.0%;KL61_14_wbaZ,99.74%;KL61_15_wcaJ,100.0%;KL61_16_gnd,100.0%;KL61_17_manC,99.364%;KL61_18_manB,100.0%;KL61_19_ugd,100.0%		2	KL30_19_manB,99.145%;KL14_19_manC,100.0%	0 / 19 (0%)		1	KL150_19_gmd,98.209%
42070_1#141.contigs_spades	KL2	K2	Very high		100.00%	98.41%	+1 bp	18 / 18 (100%)	KL2_01_galF,99.331%;KL2_02_cpsACP,99.048%;KL2_03_wzi,98.614%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.862%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.177%;KL2_12,99.483%;KL2_13,99.103%;KL2_14_wcaJ,99.785%;KL2_15_gnd,98.934%;KL2_16_manC,99.364%;KL2_17_manB,99.781%;KL2_18_ugd,100.0%		0		0 / 18 (0%)		4	KL40_03_wcpO,98.381%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.104%
42070_1#142.contigs_spades	KL112	unknown (KL112)	Very high		100.00%	98.65%	0 bp	18 / 18 (100%)	KL112_01_galF,100.0%;KL112_02_cpsACP,99.524%;KL112_03_wzi,97.071%;KL112_04_wza,100.0%;KL112_05_wzb,99.31%;KL112_06_wzc,99.722%;KL112_07_wbaP,100.0%;KL112_08,99.516%;KL112_09_wzy,99.256%;KL112_10_wcaO,100.0%;KL112_11_wcaN,100.0%;KL112_12_wbaZ,98.961%;KL112_13_wcuV,99.699%;KL112_14_wzx,99.583%;KL112_15_gnd,100.0%;KL112_16_manC,99.576%;KL112_17_manB,99.781%;KL112_18_ugd,99.486%		0		0 / 18 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,99.701%
42070_1#143.contigs_spades	KL9	K9	Very high		100.00%	98.28%	-1 bp	19 / 19 (100%)	KL9_01_galF,99.666%;KL9_02_cpsACP,97.619%;KL9_03_wzi,100.0%;KL9_04_wza,100.0%;KL9_05_wzb,100.0%;KL9_06_wzc,99.861%;KL9_07_wbaP,99.79%;KL9_08,99.67%;KL9_09,99.361%;KL9_10,100.0%;KL9_11,99.655%;KL9_12,99.539%;KL9_13_wzx,99.762%;KL9_14_gnd,99.787%;KL9_15_rmlB,99.718%;KL9_16_rmlA,100.0%;KL9_17_rmlD,99.663%;KL9_18_rmlC,97.297%;KL9_19_ugd,99.743%		0		0 / 19 (0%)		4	KL40_03_wcpO,98.988%;KL40_04,99.504%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.104%
42070_1#144.contigs_spades	KL102	unknown (KL102)	Very high		100.00%	99.27%	-1 bp	17 / 17 (100%)	KL102_01_galF,98.997%;KL102_02_cpsACP,99.048%;KL102_03_wzi,100.0%;KL102_04_wza,100.0%;KL102_05_wzb,100.0%;KL102_06_wzc,99.722%;KL102_07_wbaP,99.366%;KL102_08_wzy,99.538%;KL102_09,99.313%;KL102_10,99.643%;KL102_11,99.432%;KL102_12,99.722%;KL102_13,100.0%;KL102_14,100.0%;KL102_15_wzx,100.0%;KL102_16_gnd,100.0%;KL102_17_ugd,99.486%		0		0 / 17 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
42070_1#145.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#146.contigs_spades	KL43	K43	Very high		100.00%	99.78%	0 bp	19 / 19 (100%)	KL43_01_galF,100.0%;KL43_02_cpsACP,100.0%;KL43_03_wzi,99.792%;KL43_04_wza,100.0%;KL43_05_wzb,100.0%;KL43_06_wzc,100.0%;KL43_07_wcaJ,100.0%;KL43_08_wcuO,100.0%;KL43_09_wzy,100.0%;KL43_10_wcpY,100.0%;KL43_11_wcuE,100.0%;KL43_12_wbaZ,100.0%;KL43_13_wcuV,100.0%;KL43_14_wzx,100.0%;KL43_15_wcpZ,99.719%;KL43_16_gnd,100.0%;KL43_17_manC,100.0%;KL43_18_manB,100.0%;KL43_19_ugd,99.486%		0		0 / 19 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,98.209%
42070_1#147.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#148.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#149.contigs_spades	KL126	unknown (KL126)	Very high	*	100.00%	95.17%	+2 bp	19 / 19 (100%)	KL126_01_galF,98.997%;KL126_02_cpsACP,94.286%;KL126_03_wzi,97.071%;KL126_04_wza,99.735%;KL126_05_wzb,99.31%;KL126_06_wzc,99.445%;KL126_07_wbaP,98.95%;KL126_08,97.665%;KL126_09,97.076%;KL126_10_wzx,97.842%;KL126_11_wcpS,94.662%;KL126_12_wcqP,95.156%;KL126_13_glf,98.093%;KL126_14_gnd,99.574%;KL126_15_rmlB,98.873%;KL126_16_rmlA,97.917%;KL126_17_rmlD,98.99%;KL126_18_rmlC,96.757%;KL126_19_ugd,99.743%		0		0 / 19 (0%)		5	KL55_16_rmlB,99.718%;KL150_19_gmd,98.507%;KL183_17_rmlD,100.0%;KL19_17_rmlA,99.655%;KL19_19_rmlC,98.817%
42070_1#14.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#150.contigs_spades	KL16	K16	Very high		100.00%	99.41%	0 bp	22 / 22 (100%)	KL16_01_galF,99.666%;KL16_02_cpsACP,97.619%;KL16_03_wzi,100.0%;KL16_04_wza,100.0%;KL16_05_wzb,100.0%;KL16_06_wzc,100.0%;KL16_07_wzx,100.0%;KL16_08_wzy,100.0%;KL16_09_gtf1,99.735%;KL16_10_vatD,99.451%;KL16_11_lacA,100.0%;KL16_12_sunS,100.0%;KL16_13_gmd,100.0%;KL16_14_fcl,100.0%;KL16_15_gmm,100.0%;KL16_16,100.0%;KL16_17_wcaJ,100.0%;KL16_18_gnd,100.0%;KL16_19,99.372%;KL16_20_manC,99.153%;KL16_21_manB,99.562%;KL16_22_ugd,99.743%		0		0 / 22 (0%)		2	KL40_05_rfaG,98.158%;KL150_19_gmd,99.701%
42070_1#151.contigs_spades	KL137	unknown (KL137)	Good	?-+*	100.00%	96.00%	n/a	23 / 24 (95.8%)	KL137_01_galF,98.997%;KL137_02_cpsACP,91.905%;KL137_03_wzi,98.542%;KL137_04_wza,99.472%;KL137_05_wzb,100.0%;KL137_07_wbaP,100.0%;KL137_08,97.954%;KL137_09,98.476%;KL137_10_wbaZ,98.711%;KL137_11_wcuS,96.575%;KL137_12_wzx,98.131%;KL137_13_wcqH,97.587%;KL137_14_wclK,97.701%;KL137_15_wzy,97.866%;KL137_16_wcuC,98.892%;KL137_17_gnd,99.574%;KL137_18_manC,99.788%;KL137_19,100.0%;KL137_20_rmlB,99.458%;KL137_21_rmlA,97.917%;KL137_22_rmlD,98.99%;KL137_23_rmlC,97.297%;KL137_24_ugd,99.743%	KL137_06_wzc	1	KL142_20_rmlC,99.459%	0 / 24 (0%)		2	KL150_19_gmd,98.806%;KL14_22_rmlA,99.259%
42070_1#152.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#153.contigs_spades	KL114	unknown (KL114)	Very high		100.00%	97.38%	+13 bp	19 / 19 (100%)	KL114_01_galF,98.997%;KL114_02_cpsACP,96.19%;KL114_03_wzi,96.309%;KL114_04_wza,100.0%;KL114_05_wzb,100.0%;KL114_06_wzc,100.0%;KL114_07_wbaP,99.79%;KL114_08_wzy,99.764%;KL114_09_wciP,99.49%;KL114_10_wzx,98.79%;KL114_11_wcqZ,98.936%;KL114_12_wcuQ,98.462%;KL114_13,97.49%;KL114_14_wbaZ,99.742%;KL114_15,98.973%;KL114_16_gnd,99.147%;KL114_17_manC,99.788%;KL114_18_manB,99.781%;KL114_19_ugd,100.0%		0		0 / 19 (0%)		1	KL150_19_gmd,98.209%
42070_1#154.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#155.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.103%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#156.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#157.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#158.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#159.contigs_spades	KL30	K30	Very high	*	100.00%	96.36%	-1 bp	20 / 20 (100%)	KL30_01_galF,99.666%;KL30_02_cpsACP,99.048%;KL30_03_wzi,99.208%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.309%;KL30_07_wcuL,100.0%;KL30_08_wzx,100.0%;KL30_09_wcuD,97.143%;KL30_10_wzy,92.694%;KL30_11_wckP,92.287%;KL30_12_wckO,93.59%;KL30_13_wckN,92.188%;KL30_14,94.17%;KL30_15_wcuG,91.831%;KL30_16_wcaJ,97.854%;KL30_17_gnd,99.147%;KL30_18_manC,99.364%;KL30_19_manB,100.0%;KL30_20_ugd,99.743%		0		0 / 20 (0%)		4	KL40_03_wcpO,97.773%;KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
42070_1#15.contigs_spades	KL102	unknown (KL102)	Very high		100.00%	99.27%	-1 bp	17 / 17 (100%)	KL102_01_galF,98.997%;KL102_02_cpsACP,99.048%;KL102_03_wzi,100.0%;KL102_04_wza,100.0%;KL102_05_wzb,100.0%;KL102_06_wzc,99.583%;KL102_07_wbaP,99.366%;KL102_08_wzy,99.538%;KL102_09,99.313%;KL102_10,99.643%;KL102_11,99.432%;KL102_12,99.722%;KL102_13,100.0%;KL102_14,100.0%;KL102_15_wzx,100.0%;KL102_16_gnd,100.0%;KL102_17_ugd,99.486%		0		0 / 17 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
42070_1#160.contigs_spades	KL2	K2	Very high		100.00%	99.75%	+1 bp	18 / 18 (100%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_13,99.552%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%		0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#161.contigs_spades	KL23	K23	Very high		100.00%	99.99%	0 bp	19 / 19 (100%)	KL23_01_galF,100.0%;KL23_02_cpsACP,100.0%;KL23_03_wzi,100.0%;KL23_04_wza,100.0%;KL23_05_wzb,100.0%;KL23_06_wzc,100.0%;KL23_07_wcaA,100.0%;KL23_08_wcaJ,100.0%;KL23_09_wckU,100.0%;KL23_10_wzy,100.0%;KL23_11_wckA,99.672%;KL23_12,100.0%;KL23_13_wzx,100.0%;KL23_14_gnd,100.0%;KL23_15_rmlB,100.0%;KL23_16_rmlA,100.0%;KL23_17_rmlD,100.0%;KL23_18_rmlC,100.0%;KL23_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,99.595%;KL40_04,99.502%;KL40_05_rfaG,99.213%;KL150_19_gmd,98.507%
42070_1#162.contigs_spades	KL23	K23	Very high		100.00%	99.91%	0 bp	19 / 19 (100%)	KL23_01_galF,100.0%;KL23_02_cpsACP,100.0%;KL23_03_wzi,99.791%;KL23_04_wza,100.0%;KL23_05_wzb,100.0%;KL23_06_wzc,100.0%;KL23_07_wcaA,99.67%;KL23_08_wcaJ,100.0%;KL23_09_wckU,100.0%;KL23_10_wzy,99.736%;KL23_11_wckA,99.672%;KL23_12,100.0%;KL23_13_wzx,100.0%;KL23_14_gnd,100.0%;KL23_15_rmlB,100.0%;KL23_16_rmlA,100.0%;KL23_17_rmlD,100.0%;KL23_18_rmlC,100.0%;KL23_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,99.393%;KL40_04,99.007%;KL40_05_rfaG,99.475%;KL150_19_gmd,99.403%
42070_1#163.contigs_spades	KL30	K30	Very high	*	100.00%	96.45%	-1 bp	20 / 20 (100%)	KL30_01_galF,100.0%;KL30_02_cpsACP,99.524%;KL30_03_wzi,99.01%;KL30_04_wza,100.0%;KL30_05_wzb,99.306%;KL30_06_wzc,99.448%;KL30_07_wcuL,100.0%;KL30_08_wzx,100.0%;KL30_09_wcuD,97.143%;KL30_10_wzy,92.396%;KL30_11_wckP,92.287%;KL30_12_wckO,93.59%;KL30_13_wckN,92.188%;KL30_14,94.17%;KL30_15_wcuG,91.831%;KL30_16_wcaJ,98.069%;KL30_17_gnd,99.36%;KL30_18_manC,99.153%;KL30_19_manB,99.787%;KL30_20_ugd,100.0%		0		0 / 20 (0%)		4	KL40_03_wcpO,97.773%;KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.403%
42070_1#164.contigs_spades	KL19	K19	High	*	100.00%	94.91%	+11 bp	20 / 20 (100%)	KL19_01_galF,98.997%;KL19_02_cpsACP,96.19%;KL19_03_wzi,97.917%;KL19_04_wza,97.884%;KL19_05_wzb,100.0%;KL19_06_wzc,98.752%;KL19_07_wcaJ,98.739%;KL19_08_wcuF,94.865%;KL19_09_wcmY,96.284%;KL19_10_wzx,96.875%;KL19_11_wctW,97.173%;KL19_12_wctX,99.228%;KL19_13_wzy,98.847%;KL19_14,94.69%;KL19_15_gnd,99.574%;KL19_16_rmlB,99.155%;KL19_17_rmlA,97.917%;KL19_18_rmlD,98.316%;KL19_19_rmlC,98.919%;KL19_20_ugd,99.743%		0		0 / 20 (0%)		4	KL40_03_wcpO,97.773%;KL40_04,99.504%;KL40_05_rfaG,99.738%;KL150_19_gmd,99.104%
42070_1#165.contigs_spades	KL102	unknown (KL102)	Very high		100.00%	99.27%	-1 bp	17 / 17 (100%)	KL102_01_galF,98.997%;KL102_02_cpsACP,99.048%;KL102_03_wzi,100.0%;KL102_04_wza,100.0%;KL102_05_wzb,100.0%;KL102_06_wzc,99.722%;KL102_07_wbaP,99.366%;KL102_08_wzy,99.538%;KL102_09,99.313%;KL102_10,99.643%;KL102_11,99.432%;KL102_12,99.722%;KL102_13,100.0%;KL102_14,100.0%;KL102_15_wzx,100.0%;KL102_16_gnd,100.0%;KL102_17_ugd,99.486%		0		0 / 17 (0%)		4	KL40_03_wcpO,99.19%;KL40_04,99.256%;KL40_05_rfaG,99.738%;KL150_19_gmd,98.507%
42070_1#167.contigs_spades	KL48	K48	High	*	100.00%	94.78%	-2 bp	21 / 21 (100%)	KL48_01_galF,99.331%;KL48_02_cpsACP,95.238%;KL48_03_wzi,98.326%;KL48_04_wza,98.413%;KL48_05_wzb,99.31%;KL48_06_wzc,98.056%;KL48_07_wcaA,94.719%;KL48_08_wcaJ,98.934%;KL48_09_wclL,93.75%;KL48_10_wzy,98.137%;KL48_11_wcqD,96.642%;KL48_12_wckU,95.429%;KL48_13,96.882%;KL48_14_wzx,98.194%;KL48_15_wcqE,96.319%;KL48_16_gnd,99.574%;KL48_17_rmlB,98.873%;KL48_18_rmlA,97.917%;KL48_19_rmlD,98.99%;KL48_20_rmlC,98.919%;KL48_21_ugd,99.743%		0		0 / 21 (0%)		2	KL150_19_gmd,98.806%;KL150_19_gmd,84.985%
42070_1#168.contigs_spades	KL2	K2	High	-	100.00%	99.75%	0 bp	17 / 18 (94.4%)	KL2_01_galF,100.0%;KL2_02_cpsACP,100.0%;KL2_03_wzi,100.0%;KL2_04_wza,100.0%;KL2_05_wzb,100.0%;KL2_06_wzc,99.723%;KL2_07,99.721%;KL2_08,100.0%;KL2_09,99.743%;KL2_10,100.0%;KL2_11_wzx,99.794%;KL2_12,99.31%;KL2_14_wcaJ,99.785%;KL2_15_gnd,99.574%;KL2_16_manC,100.0%;KL2_17_manB,100.0%;KL2_18_ugd,99.743%	KL2_13	0		0 / 18 (0%)		2	KL40_05_rfaG,97.895%;KL150_19_gmd,100.0%
42070_1#170.contigs_spades	KL45	K45	Very high		100.00%	98.41%	+2 bp	19 / 19 (100%)	KL45_01_galF,100.0%;KL45_02_cpsACP,99.048%;KL45_03_wzi,97.699%;KL45_04_wza,99.208%;KL45_05_wzb,100.0%;KL45_06_wzc,99.723%;KL45_07_wcaA,99.01%;KL45_08_wcaJ,100.0%;KL45_09_wcuP,100.0%;KL45_10_wclI,100.0%;KL45_11_wzy,99.745%;KL45_12_wcqB,100.0%;KL45_13_wzx,100.0%;KL45_14_gnd,100.0%;KL45_15_rmlB,100.0%;KL45_16_rmlA,100.0%;KL45_17_rmlD,100.0%;KL45_18_rmlC,100.0%;KL45_19_ugd,100.0%		0		0 / 19 (0%)		4	KL40_03_wcpO,97.571%;KL40_04,99.007%;KL40_05_rfaG,99.213%;KL150_19_gmd,98.806%
